,open,high,low,close,volume
2024-12-11 19:59:00,246.3900,246.4800,246.3700,246.3800,713
2024-12-11 19:58:00,246.4100,246.4100,246.3600,246.3900,104
2024-12-11 19:57:00,246.4100,246.4100,246.3600,246.3850,297
2024-12-11 19:56:00,246.4001,246.4100,246.4000,246.4099,233
2024-12-11 19:55:00,246.4050,246.4100,246.4000,246.4002,192
2024-12-11 19:54:00,246.4100,246.4200,246.4000,246.4100,49
2024-12-11 19:53:00,246.3600,246.4200,246.3600,246.4100,33
2024-12-11 19:52:00,246.3700,246.4800,246.3600,246.3700,351
2024-12-11 19:51:00,246.3800,246.4000,246.3600,246.3800,423
2024-12-11 19:50:00,246.4000,246.4000,246.3800,246.3998,133
2024-12-11 19:49:00,246.3800,246.4000,246.3700,246.3800,255
2024-12-11 19:48:00,246.3600,246.4000,246.3600,246.3850,222
2024-12-11 19:47:00,246.4200,246.4200,246.3600,246.3700,701
2024-12-11 19:46:00,246.3600,246.4700,246.3600,246.3900,76
2024-12-11 19:45:00,246.3900,246.4200,246.3600,246.3600,1749
2024-12-11 19:44:00,246.3600,246.4676,246.3600,246.3600,1640
2024-12-11 19:43:00,246.4200,246.4700,246.2600,246.3500,840
2024-12-11 19:42:00,246.4100,246.4700,246.3600,246.4150,50
2024-12-11 19:41:00,246.3600,246.4700,246.3600,246.4150,41
2024-12-11 19:40:00,246.4200,246.4700,246.3600,246.4700,161
2024-12-11 19:39:00,246.3600,246.4700,246.3600,246.4150,367
2024-12-11 19:38:00,246.3900,246.4800,246.3600,246.3700,345
2024-12-11 19:37:00,246.4350,246.4800,246.4100,246.4800,124
2024-12-11 19:36:00,246.4350,246.4800,246.3900,246.4350,57
2024-12-11 19:35:00,246.4400,246.4800,246.3900,246.4350,174
2024-12-11 19:34:00,246.4900,246.4900,246.4300,246.4400,21
2024-12-11 19:33:00,246.4250,246.4900,246.3600,246.4900,291
2024-12-11 19:32:00,246.3700,246.4900,246.3600,246.4900,330
2024-12-11 19:31:00,246.3700,246.4900,246.3600,246.4250,535
2024-12-11 19:30:00,246.4000,246.4900,246.3600,246.3800,379
2024-12-11 19:29:00,246.4900,246.4900,246.3800,246.3800,32
2024-12-11 19:28:00,246.3800,246.4900,246.3800,246.4350,419
2024-12-11 19:27:00,246.4000,246.4000,246.3800,246.4000,114
2024-12-11 19:26:00,246.4500,246.4900,246.3800,246.3900,100
2024-12-11 19:25:00,246.4300,246.4900,246.3600,246.4900,97
2024-12-11 19:24:00,246.3600,246.4300,246.3600,246.4300,515
2024-12-11 19:23:00,246.4900,246.4900,246.3950,246.4000,843
2024-12-11 19:22:00,246.4200,246.4900,246.4200,246.4900,1610
2024-12-11 19:21:00,246.4300,246.4900,246.4200,246.4200,2058
2024-12-11 19:20:00,246.4833,246.4900,246.4000,246.4700,254
2024-12-11 19:19:00,246.3900,246.4900,246.3610,246.4250,2094
2024-12-11 19:18:00,246.4000,246.4000,246.3700,246.3800,269
2024-12-11 19:17:00,246.3800,246.4000,246.3800,246.3800,57
